video_id,rgb_path,thermal_path,class_id,class_name,split,is_hard_negative
250603113529_00091,RGB/typing/typing_250603113529_00091_rgb.mp4,Thermal/typing/typing_250603113529_00091_inf.mp4,23,typing,train,FALSE
250606234805_00024,RGB/put_off_coat/put_off_coat_250606234805_00024_rgb.mp4,Thermal/put_off_coat/put_off_coat_250606234805_00024_inf.mp4,13,put_off_coat,train,FALSE
250605174348_00063,RGB/wave/wave_250605174348_00063_rgb.mp4,Thermal/wave/wave_250605174348_00063_inf.mp4,26,wave,train,FALSE
250624195155_00024,RGB/turn/turn_250624195155_00024_rgb.mp4,Thermal/turn/turn_250624195155_00024_inf.mp4,22,turn,train,FALSE
250619153443_00063,RGB/wave/wave_250619153443_00063_rgb.mp4,Thermal/wave/wave_250619153443_00063_inf.mp4,26,wave,train,FALSE
250607173636_00030,RGB/sleeping/sleeping_250607173636_00030_rgb.mp4,Thermal/sleeping/sleeping_250607173636_00030_inf.mp4,19,sleeping,train,FALSE
250525150715_00013,RGB/lift/lifting_250525150715_00013_rgb.mp4,Thermal/lift/lifting_250525150715_00013_inf.mp4,8,lift,train,TRUE
250712130011_00104,RGB/turn/turn_250712130011_00104_rgb.mp4,Thermal/turn/turn_250712130011_00104_inf.mp4,22,turn,train,FALSE
250528152713_00413,RGB/run/run_250528152713_00413_rgb.mp4,Thermal/run/run_250528152713_00413_inf.mp4,15,run,train,FALSE
250606153033_00001,RGB/pour/pour_250606153033_00001_rgb.mp4,Thermal/pour/pour_250606153033_00001_inf.mp4,11,pour,train,FALSE
250606145340_00008,RGB/searching/searching_250606145340_00008_rgb.mp4,Thermal/searching/searching_250606145340_00008_inf.mp4,16,searching,train,FALSE
250607171839_00053,RGB/sleeping/sleeping_250607171839_00053_rgb.mp4,Thermal/sleeping/sleeping_250607171839_00053_inf.mp4,19,sleeping,train,FALSE
250726165400_00150,RGB/pick/pick_250726165400_00150_rgb.mp4,Thermal/pick/pick_250726165400_00150_inf.mp4,10,pick,train,TRUE
250712175949_00160,RGB/stand/stand_250712175949_00160_rgb.mp4,Thermal/stand/stand_250712175949_00160_inf.mp4,21,stand,train,FALSE
250603113936_00178,RGB/typing/typing_250603113936_00178_rgb.mp4,Thermal/typing/typing_250603113936_00178_inf.mp4,23,typing,train,FALSE
250607173816_00053,RGB/sleeping/sleeping_250607173816_00053_rgb.mp4,Thermal/sleeping/sleeping_250607173816_00053_inf.mp4,19,sleeping,train,FALSE
250607170412_00155,RGB/sleeping/sleeping_250607170412_00155_rgb.mp4,Thermal/sleeping/sleeping_250607170412_00155_inf.mp4,19,sleeping,train,FALSE
250525233057_00228,RGB/lift/lifting_250525233057_00228_rgb.mp4,Thermal/lift/lifting_250525233057_00228_inf.mp4,8,lift,train,TRUE
250712200605_00330,RGB/turn/turn_250712200605_00330_rgb.mp4,Thermal/turn/turn_250712200605_00330_inf.mp4,22,turn,train,FALSE
250604181844_00185,RGB/climb_stairs/climb_stairs_250604181844_00185_rgb.mp4,Thermal/climb_stairs/climb_stairs_250604181844_00185_inf.mp4,1,climb_stairs,train,FALSE
250619153603_00049,RGB/wave/wave_250619153603_00049_rgb.mp4,Thermal/wave/wave_250619153603_00049_inf.mp4,26,wave,train,FALSE
250730005147_00015,RGB/pick/pick_250730005147_00015_rgb.mp4,Thermal/pick/pick_250730005147_00015_inf.mp4,10,pick,train,TRUE
250605194254_00003,RGB/drink/drink_250605194254_00003_rgb.mp4,Thermal/drink/drink_250605194254_00003_inf.mp4,5,drink,train,FALSE
250619153301_00011,RGB/searching/searching_250619153301_00011_rgb.mp4,Thermal/searching/searching_250619153301_00011_inf.mp4,16,searching,train,FALSE
250715152036_00013,RGB/squat/squat_250715152036_00013_rgb.mp4,Thermal/squat/squat_250715152036_00013_inf.mp4,20,squat,train,TRUE
250712173931_00128,RGB/jump/jump_250712173931_00128_rgb.mp4,Thermal/jump/jump_250712173931_00128_inf.mp4,7,jump,train,FALSE
250726164332_00138,RGB/turn/turn_250726164332_00138_rgb.mp4,Thermal/turn/turn_250726164332_00138_inf.mp4,22,turn,train,FALSE
250528151916_00215,RGB/run/run_250528151916_00215_rgb.mp4,Thermal/run/run_250528151916_00215_inf.mp4,15,run,train,FALSE
250607155944_00001,RGB/walk/walk_250607155944_00001_rgb.mp4,Thermal/walk/walk_250607155944_00001_inf.mp4,25,walk,train,FALSE
250603114737_00348,RGB/typing/typing_250603114737_00348_rgb.mp4,Thermal/typing/typing_250603114737_00348_inf.mp4,23,typing,train,FALSE
250605182722_00088,RGB/drink/drink_250605182722_00088_rgb.mp4,Thermal/drink/drink_250605182722_00088_inf.mp4,5,drink,train,FALSE
250607160648_00008,RGB/walk/walk_250607160648_00008_rgb.mp4,Thermal/walk/walk_250607160648_00008_inf.mp4,25,walk,train,FALSE
250805154527_00083,RGB/crouch/crouch_250805154527_00083_rgb.mp4,Thermal/crouch/crouch_250805154527_00083_inf.mp4,2,crouch,train,TRUE
250530171357_00098,RGB/push/push_250530171357_00098_rgb.mp4,Thermal/push/push_250530171357_00098_inf.mp4,12,push,train,FALSE
250607160350_00025,RGB/walk/walk_250607160350_00025_rgb.mp4,Thermal/walk/walk_250607160350_00025_inf.mp4,25,walk,train,FALSE
250604182432_00078,RGB/climb_stairs/climb_stairs_250604182432_00078_rgb.mp4,Thermal/climb_stairs/climb_stairs_250604182432_00078_inf.mp4,1,climb_stairs,train,FALSE
250603155328_00059,RGB/using_smartphone/using_smartphone_250603155328_00059_rgb.mp4,Thermal/using_smartphone/using_smartphone_250603155328_00059_inf.mp4,24,using_smartphone,train,FALSE
250525224327_00140,RGB/turn/turn_250525224327_00140_rgb.mp4,Thermal/turn/turn_250525224327_00140_inf.mp4,22,turn,train,FALSE
