sample_id,dataset,role,modality,path_rgb,path_thermal,sequence_id,subject_id,frame_index,original_label,project_label,status,issue_code,split,notes
kaist_set04v001_000000,kaist,B+D,thermal,none,images/set04/V001/lwir/I00000.jpg,set04v001,none,0,none,none,exclude,E-NO-PERSON,none,No pedestrian in frame
kaist_set04v001_000001,kaist,B+D,thermal,none,images/set04/V001/lwir/I00001.jpg,set04v001,none,1,none,none,exclude,E-NO-PERSON,none,No pedestrian in frame
kaist_set04v001_000002,kaist,B+D,thermal,none,images/set04/V001/lwir/I00002.jpg,set04v001,none,2,none,none,exclude,E-NO-PERSON,none,No pedestrian in frame
kaist_set04v001_000003,kaist,B+D,thermal,none,images/set04/V001/lwir/I00003.jpg,set04v001,none,3,none,none,exclude,E-NO-PERSON,none,No pedestrian in frame
kaist_set04v001_000004,kaist,B+D,thermal,none,images/set04/V001/lwir/I00004.jpg,set04v001,none,4,none,none,exclude,E-NO-PERSON,none,No pedestrian in frame
kaist_set04v001_000005,kaist,B+D,thermal,none,images/set04/V001/lwir/I00005.jpg,set04v001,none,5,none,none,exclude,E-NO-PERSON,none,No pedestrian in frame
kaist_set04v001_000006,kaist,B+D,thermal,none,images/set04/V001/lwir/I00006.jpg,set04v001,none,6,none,none,exclude,E-NO-PERSON,none,No pedestrian in frame
kaist_set04v001_000007,kaist,B+D,thermal,none,images/set04/V001/lwir/I00007.jpg,set04v001,none,7,none,none,exclude,E-NO-PERSON,none,No pedestrian in frame
kaist_set04v001_000008,kaist,B+D,thermal,none,images/set04/V001/lwir/I00008.jpg,set04v001,none,8,none,none,exclude,E-NO-PERSON,none,No pedestrian in frame
kaist_set04v001_000009,kaist,B+D,thermal,none,images/set04/V001/lwir/I00009.jpg,set04v001,none,9,none,none,exclude,E-NO-PERSON,none,No pedestrian in frame
kaist_set04v001_000010,kaist,B+D,thermal,none,images/set04/V001/lwir/I00010.jpg,set04v001,none,10,none,none,exclude,E-NO-PERSON,none,No pedestrian in frame
kaist_set04v001_000011,kaist,B+D,thermal,none,images/set04/V001/lwir/I00011.jpg,set04v001,none,11,none,none,exclude,E-NO-PERSON,none,No pedestrian in frame
kaist_set04v001_000012,kaist,B+D,thermal,none,images/set04/V001/lwir/I00012.jpg,set04v001,none,12,none,none,exclude,E-NO-PERSON,none,No pedestrian in frame
kaist_set04v001_000013,kaist,B+D,thermal,none,images/set04/V001/lwir/I00013.jpg,set04v001,none,13,none,none,exclude,E-NO-PERSON,none,No pedestrian in frame
kaist_set04v001_000014,kaist,B+D,thermal,none,images/set04/V001/lwir/I00014.jpg,set04v001,none,14,none,none,exclude,E-NO-PERSON,none,No pedestrian in frame
kaist_set04v001_000015,kaist,B+D,thermal,none,images/set04/V001/lwir/I00015.jpg,set04v001,none,15,none,none,exclude,E-NO-PERSON,none,No pedestrian in frame
kaist_set04v001_000016,kaist,B+D,thermal,none,images/set04/V001/lwir/I00016.jpg,set04v001,none,16,none,none,exclude,E-NO-PERSON,none,No pedestrian in frame
kaist_set04v001_000017,kaist,B+D,thermal,none,images/set04/V001/lwir/I00017.jpg,set04v001,none,17,none,none,exclude,E-NO-PERSON,none,No pedestrian in frame
kaist_set04v001_000018,kaist,B+D,thermal,none,images/set04/V001/lwir/I00018.jpg,set04v001,none,18,none,none,exclude,E-NO-PERSON,none,No pedestrian in frame
kaist_set04v001_000019,kaist,B+D,thermal,none,images/set04/V001/lwir/I00019.jpg,set04v001,none,19,none,none,exclude,E-NO-PERSON,none,No pedestrian in frame
kaist_set04v001_000020,kaist,B+D,thermal,none,images/set04/V001/lwir/I00020.jpg,set04v001,none,20,none,none,exclude,E-NO-PERSON,none,No pedestrian in frame
kaist_set04v001_000021,kaist,B+D,thermal,none,images/set04/V001/lwir/I00021.jpg,set04v001,none,21,none,none,exclude,E-NO-PERSON,none,No pedestrian in frame
kaist_set04v001_000022,kaist,B+D,thermal,none,images/set04/V001/lwir/I00022.jpg,set04v001,none,22,none,none,exclude,E-NO-PERSON,none,No pedestrian in frame
kaist_set04v001_000023,kaist,B+D,thermal,none,images/set04/V001/lwir/I00023.jpg,set04v001,none,23,none,none,exclude,E-NO-PERSON,none,No pedestrian in frame
kaist_set04v001_000024,kaist,B+D,thermal,none,images/set04/V001/lwir/I00024.jpg,set04v001,none,24,none,none,exclude,E-NO-PERSON,none,No pedestrian in frame
kaist_set04v001_000025,kaist,B+D,thermal,none,images/set04/V001/lwir/I00025.jpg,set04v001,none,25,none,none,exclude,E-NO-PERSON,none,No pedestrian in frame
kaist_set04v001_000026,kaist,B+D,thermal,none,images/set04/V001/lwir/I00026.jpg,set04v001,none,26,none,none,exclude,E-NO-PERSON,none,No pedestrian in frame
kaist_set04v001_000027,kaist,B+D,thermal,none,images/set04/V001/lwir/I00027.jpg,set04v001,none,27,none,none,exclude,E-NO-PERSON,none,No pedestrian in frame
kaist_set04v001_000028,kaist,B+D,thermal,none,images/set04/V001/lwir/I00028.jpg,set04v001,none,28,none,none,exclude,E-NO-PERSON,none,No pedestrian in frame
kaist_set04v001_000029,kaist,B+D,thermal,none,images/set04/V001/lwir/I00029.jpg,set04v001,none,29,none,none,exclude,E-NO-PERSON,none,No pedestrian in frame
kaist_set04v001_000030,kaist,B+D,thermal,none,images/set04/V001/lwir/I00030.jpg,set04v001,none,30,none,none,exclude,E-NO-PERSON,none,No pedestrian in frame
kaist_set04v001_000031,kaist,B+D,thermal,none,images/set04/V001/lwir/I00031.jpg,set04v001,none,31,none,none,exclude,E-NO-PERSON,none,No pedestrian in frame
kaist_set04v001_000032,kaist,B+D,thermal,none,images/set04/V001/lwir/I00032.jpg,set04v001,none,32,none,none,exclude,E-NO-PERSON,none,No pedestrian in frame
kaist_set04v001_000033,kaist,B+D,thermal,none,images/set04/V001/lwir/I00033.jpg,set04v001,none,33,none,none,exclude,E-NO-PERSON,none,No pedestrian in frame
