sample_id,dataset,role,modality,path_rgb,path_thermal,sequence_id,subject_id,frame_index,original_label,project_label,status,issue_code,split,notes
mot20_train_MOT20-01_000001,MOT20,C,rgb,${MOT20_PROCESSED_ROOT}/images/train/MOT20-01/000001.jpg,none,MOT20-01,none,1,pedestrian,person,fix,F-LABEL-NORM,train,MOT20 pedestrian label normalized to person.
mot20_train_MOT20-01_000002,MOT20,C,rgb,${MOT20_PROCESSED_ROOT}/images/train/MOT20-01/000002.jpg,none,MOT20-01,none,2,pedestrian,person,fix,F-LABEL-NORM,train,MOT20 pedestrian label normalized to person.
mot20_train_MOT20-01_000003,MOT20,C,rgb,${MOT20_PROCESSED_ROOT}/images/train/MOT20-01/000003.jpg,none,MOT20-01,none,3,pedestrian,person,fix,F-LABEL-NORM,train,MOT20 pedestrian label normalized to person.
mot20_train_MOT20-01_000004,MOT20,C,rgb,${MOT20_PROCESSED_ROOT}/images/train/MOT20-01/000004.jpg,none,MOT20-01,none,4,pedestrian,person,fix,F-LABEL-NORM,train,MOT20 pedestrian label normalized to person.
mot20_train_MOT20-01_000005,MOT20,C,rgb,${MOT20_PROCESSED_ROOT}/images/train/MOT20-01/000005.jpg,none,MOT20-01,none,5,pedestrian,person,fix,F-LABEL-NORM,train,MOT20 pedestrian label normalized to person.
mot20_train_MOT20-01_000006,MOT20,C,rgb,${MOT20_PROCESSED_ROOT}/images/train/MOT20-01/000006.jpg,none,MOT20-01,none,6,pedestrian,person,fix,F-LABEL-NORM,train,MOT20 pedestrian label normalized to person.
mot20_train_MOT20-01_000007,MOT20,C,rgb,${MOT20_PROCESSED_ROOT}/images/train/MOT20-01/000007.jpg,none,MOT20-01,none,7,pedestrian,person,fix,F-LABEL-NORM,train,MOT20 pedestrian label normalized to person.
mot20_train_MOT20-01_000008,MOT20,C,rgb,${MOT20_PROCESSED_ROOT}/images/train/MOT20-01/000008.jpg,none,MOT20-01,none,8,pedestrian,person,fix,F-LABEL-NORM,train,MOT20 pedestrian label normalized to person.
mot20_train_MOT20-01_000009,MOT20,C,rgb,${MOT20_PROCESSED_ROOT}/images/train/MOT20-01/000009.jpg,none,MOT20-01,none,9,pedestrian,person,fix,F-LABEL-NORM,train,MOT20 pedestrian label normalized to person.
mot20_train_MOT20-01_000010,MOT20,C,rgb,${MOT20_PROCESSED_ROOT}/images/train/MOT20-01/000010.jpg,none,MOT20-01,none,10,pedestrian,person,fix,F-LABEL-NORM,train,MOT20 pedestrian label normalized to person.
mot20_train_MOT20-01_000011,MOT20,C,rgb,${MOT20_PROCESSED_ROOT}/images/train/MOT20-01/000011.jpg,none,MOT20-01,none,11,pedestrian,person,fix,F-LABEL-NORM,train,MOT20 pedestrian label normalized to person.
mot20_train_MOT20-01_000012,MOT20,C,rgb,${MOT20_PROCESSED_ROOT}/images/train/MOT20-01/000012.jpg,none,MOT20-01,none,12,pedestrian,person,fix,F-LABEL-NORM,train,MOT20 pedestrian label normalized to person.
mot20_train_MOT20-01_000013,MOT20,C,rgb,${MOT20_PROCESSED_ROOT}/images/train/MOT20-01/000013.jpg,none,MOT20-01,none,13,pedestrian,person,fix,F-LABEL-NORM,train,MOT20 pedestrian label normalized to person.
mot20_train_MOT20-01_000014,MOT20,C,rgb,${MOT20_PROCESSED_ROOT}/images/train/MOT20-01/000014.jpg,none,MOT20-01,none,14,pedestrian,person,fix,F-LABEL-NORM,train,MOT20 pedestrian label normalized to person.
mot20_train_MOT20-01_000015,MOT20,C,rgb,${MOT20_PROCESSED_ROOT}/images/train/MOT20-01/000015.jpg,none,MOT20-01,none,15,pedestrian,person,fix,F-LABEL-NORM,train,MOT20 pedestrian label normalized to person.
mot20_train_MOT20-01_000016,MOT20,C,rgb,${MOT20_PROCESSED_ROOT}/images/train/MOT20-01/000016.jpg,none,MOT20-01,none,16,pedestrian,person,fix,F-LABEL-NORM,train,MOT20 pedestrian label normalized to person.
mot20_train_MOT20-01_000017,MOT20,C,rgb,${MOT20_PROCESSED_ROOT}/images/train/MOT20-01/000017.jpg,none,MOT20-01,none,17,pedestrian,person,fix,F-LABEL-NORM,train,MOT20 pedestrian label normalized to person.
